antecedents_name,consequents_name,support,confidence,lift
Hyper Curl Mascara,Skin Veil Foundation,0.032904148783977114,0.2527472527472528,1.635836385836386
Skin Veil Foundation,Hyper Curl Mascara,0.032904148783977114,0.21296296296296297,1.6358363858363858
Sharp Line Eyeliner,Flawless Foundation,0.02861230329041488,0.2564102564102564,1.5861130020422054
Flawless Foundation,Sharp Line Eyeliner,0.02861230329041488,0.17699115044247787,1.5861130020422054
Hydra Grip Primer,Ultra Black Liner,0.027181688125894134,0.2159090909090909,1.5558809746954076
Ultra Black Liner,Hydra Grip Primer,0.027181688125894134,0.1958762886597938,1.5558809746954076
Hydra Grip Primer,Berry Lip Balm,0.024320457796852647,0.19318181818181818,1.4214114832535887
Berry Lip Balm,Hydra Grip Primer,0.024320457796852647,0.17894736842105263,1.4214114832535885
Satin Lipstick,Pore Blur Primer,0.02145922746781116,0.17441860465116277,1.3698719623726154
Honey Lip Balm,Hydra Skin Cushion,0.02145922746781116,0.17441860465116277,1.3698719623726154
Pore Blur Primer,Satin Lipstick,0.02145922746781116,0.16853932584269662,1.3698719623726154
Hydra Skin Cushion,Honey Lip Balm,0.02145922746781116,0.16853932584269662,1.3698719623726154
Glow Fit Cushion,Brow Mascara,0.024320457796852647,0.18681318681318682,1.3324736488001796
Brow Mascara,Glow Fit Cushion,0.024320457796852647,0.17346938775510204,1.3324736488001794
Hydra Skin Cushion,Berry Lip Balm,0.022889842632331903,0.1797752808988764,1.322767593140154
Berry Lip Balm,Hydra Skin Cushion,0.022889842632331903,0.16842105263157897,1.322767593140154
Sharp Line Eyeliner,Berry Lip Balm,0.020028612303290415,0.1794871794871795,1.3206477732793522
Berry Lip Balm,Sharp Line Eyeliner,0.020028612303290415,0.1473684210526316,1.3206477732793522
Hyper Curl Mascara,Lip Mousse,0.024320457796852647,0.18681318681318682,1.319014319014319
Lip Mousse,Hyper Curl Mascara,0.024320457796852647,0.1717171717171717,1.3190143190143189
Pore Blur Primer,Ultra Black Liner,0.022889842632331903,0.1797752808988764,1.2954940345187071
Ultra Black Liner,Pore Blur Primer,0.022889842632331903,0.16494845360824742,1.2954940345187071
Satin Lipstick,Velvet Air Cushion,0.020028612303290415,0.1627906976744186,1.2785471648811078
Velvet Air Cushion,Satin Lipstick,0.020028612303290415,0.15730337078651685,1.2785471648811078
Hydra Grip Primer,Peach Bloom Blush,0.020028612303290415,0.1590909090909091,1.2494892747701736
Peach Bloom Blush,Hydra Grip Primer,0.020028612303290415,0.15730337078651685,1.2494892747701736
Silk Two Way Cake,Brow Pomade,0.02145922746781116,0.16483516483516483,1.2257423427636194
Brow Pomade,Silk Two Way Cake,0.02145922746781116,0.15957446808510636,1.2257423427636192
Honey Lip Balm,Flawless Foundation,0.024320457796852647,0.19767441860465115,1.2227824655278863
Flawless Foundation,Honey Lip Balm,0.024320457796852647,0.15044247787610618,1.2227824655278863
Hydra Skin Cushion,Ultra Black Liner,0.02145922746781116,0.16853932584269662,1.214525657361288
Ultra Black Liner,Hydra Skin Cushion,0.02145922746781116,0.15463917525773194,1.2145256573612877
Silk Two Way Cake,Soft Blur Powder Cake,0.02145922746781116,0.16483516483516483,1.2128397917871603
Soft Blur Powder Cake,Silk Two Way Cake,0.02145922746781116,0.15789473684210528,1.2128397917871603
Velvet Air Cushion,Hyper Curl Mascara,0.020028612303290415,0.15730337078651685,1.2082973206568712
Hyper Curl Mascara,Velvet Air Cushion,0.020028612303290415,0.15384615384615385,1.2082973206568712
Berry Lip Balm,Glow Matte Lip Cream,0.02575107296137339,0.18947368421052632,1.2040191387559809
Glow Matte Lip Cream,Berry Lip Balm,0.02575107296137339,0.16363636363636364,1.2040191387559809
Slim Precision Brow,Lip Mousse,0.022889842632331903,0.1702127659574468,1.2018052869116698
Lip Mousse,Slim Precision Brow,0.022889842632331903,0.1616161616161616,1.2018052869116698
Satin Lipstick,Berry Lip Balm,0.020028612303290415,0.1627906976744186,1.197796817625459
Berry Lip Balm,Satin Lipstick,0.020028612303290415,0.1473684210526316,1.197796817625459
Velvet Air Cushion,Lip Mousse,0.02145922746781116,0.16853932584269662,1.1899897854954034
Lip Mousse,Velvet Air Cushion,0.02145922746781116,0.15151515151515152,1.1899897854954034
Hyper Curl Mascara,Ultra Black Liner,0.02145922746781116,0.16483516483516483,1.18783278577093
Ultra Black Liner,Hyper Curl Mascara,0.02145922746781116,0.15463917525773194,1.1878327857709299
Flawless Foundation,Slim Precision Brow,0.02575107296137339,0.1592920353982301,1.184522688759179
Slim Precision Brow,Flawless Foundation,0.02575107296137339,0.19148936170212766,1.1845226887591789
Satin Lipstick,Glow Matte Lip Cream,0.022889842632331903,0.18604651162790697,1.1822410147991542
Glow Matte Lip Cream,Satin Lipstick,0.022889842632331903,0.14545454545454545,1.1822410147991542
Velvet Air Cushion,Flawless Foundation,0.024320457796852647,0.19101123595505617,1.1815650790494183
Flawless Foundation,Velvet Air Cushion,0.024320457796852647,0.15044247787610618,1.181565079049418
Brow Pomade,Skin Veil Foundation,0.024320457796852647,0.18085106382978722,1.1705082742316784
Skin Veil Foundation,Brow Pomade,0.024320457796852647,0.15740740740740738,1.1705082742316784
Pore Blur Primer,Brow Pomade,0.020028612303290415,0.15730337078651685,1.1697346402103752
Peach Bloom Blush,Brow Pomade,0.020028612303290415,0.15730337078651685,1.1697346402103752
Brow Pomade,Pore Blur Primer,0.020028612303290415,0.14893617021276595,1.1697346402103752
Brow Pomade,Peach Bloom Blush,0.020028612303290415,0.14893617021276595,1.1697346402103752
